"530567","<unit-testing><junit><polls><testing>","0","20090209","4"
"193773","<.net><polls>","13","20081011","12"
"177576","<documentation><polls>","18","20081007","19"
"4604879","<web-development><operating-system><polls><y2k><year2038>","3","20110105","1"
"123092","<html><web-development><polls><hidden-features>","22","20080923","28"
"1133982","<java-ee><polls><technology-stack>","0","20090715","6"
"209212","<.net><installer><polls>","5","20081016","12"
"1385817","<web-development><language-agnostic><frameworks><polls>","1","20090906","4"
"266428","<polls><certification>","4","20081105","11"
"289977","<java><web-services><frameworks><polls>","29","20081114","11"
"1412262","<polls><calculation><math>","1","20090911","4"
"82393","<asp.net><orm><polls><data-access-layer>","6","20080917","12"
"1070988","<asp.net><asp.net-mvc><mvc><polls>","3","20090701","6"
"220609","<polls><survey>","4","20081021","45"
"257687","<programming-languages><scripting><polls>","2","20081103","16"
"319725","<polls><gdb><debugging><tricks>","11","20081126","5"
"94718","<.net><open-source><polls>","7","20080918","25"
"1199389","<java><polls><language-features>","7","20090729","21"
"4886243","<polls><corba>","1","20110203","2"
"415382","<ruby-on-rails><documentation><polls><bookmarks>","6","20090106","12"
"136440","<editor><backup><polls>","15","20080925","36"
"131115","<api><coding-style><polls><comments>","8","20080925","15"
"830067","<c++><windows><polls>","12","20090506","6"
"854084","<deployment><polls><checklist>","3","20090512","3"
"4052159","<polls><proof-of-concept>","0","20101029","1"
"759373","<design><language-agnostic><polls>","1","20090417","5"
"238197","<tools><polls><favorites>","4","20081026","24"
"124467","<database><design><open-source><polls><modeling>","8","20080923","6"
"102697","<project-management><polls><agile>","8","20080919","18"
"92648","<polls><tips-and-tricks><tricks>","12","20080918","25"
"64547","<open-source><polls>","0","20080915","3"
"586446","<api><polls><mashup>","1","20090225","11"
"362376","<career-development><polls><community-building>","20","20081212","52"
"385816","<polls><fun>","4","20081222","22"
"159340","<javascript><polls><mootools>","1","20081001","4"
"4306317","<ruby-on-rails><linux><polls><text-editor>","0","20101129","6"
"353967","<web-development><polls><technology-choice>","4","20081209","9"
"72911","<css><polls>","47","20080916","22"
"812903","<game-development><polls>","1","20090501","3"
"76092","<embedded><operating-system><polls><rtos>","5","20080916","27"
"1518559","<polls><customer-relationship>","0","20091005","1"
"576988","<python><polls><anti-patterns>","23","20090223","16"
"3337","<language-agnostic><polls>","17","20080806","48"
"615580","<polls><language>","1","20090305","17"
"167700","<polls><business><employment>","2","20081003","5"
"144382","<.net><vb.net><polls><language-features>","1","20080927","9"
"324794","<java><java-me><java-ee><polls><website>","4","20081127","15"
"137540","<svn><web-applications><polls>","18","20080926","11"
"2222183","<mercurial><polls>","7","20100208","4"
"132646","<polls><startups><entrepreneurship>","3","20080925","5"
"55139","<perl><tools><ide><editor><polls>","16","20080910","31"
"1469899","<security><polls>","409","20090924","163"
"2070888","<polls><lessons-learned>","-4","20100115","6"
"101719","<perl><polls><cpan><perl-module>","7","20080919","18"
"629804","<java><library><collections><polls>","34","20090310","12"
"2482570","<java><generics><polls>","1","20100320","5"
"245584","<templates><polls><metaprogramming><d>","19","20081029","12"
"1174543","<templates><codeigniter><controller><polls>","2","20090723","4"
"3934078","<application><polls><wiki><enterprise>","1","20101014","2"
"112803","<web-development><web-applications><tools><polls><prototyping>","52","20080922","32"
"11368","<polls><interview-questions>","22","20080814","31"
"4387","<tools><documentation><polls><generator>","12","20080807","6"
"187068","<ide><polls><productivity>","11","20081009","20"
"297565","<web-services><polls><soa>","3","20081118","4"
"3569884","<android><service><polls><asynctask><alarmmanager>","0","20100825","1"
"348210","<firefox><polls><software-tools><webdev>","12","20081207","25"
"405002","<polls><notepad++><hidden-features>","2","20090101","10"
"4100878","<html5><polls>","0","20101104","4"
"128057","<functional-programming><polls>","17","20080924","9"
"1431862","<python><coding-style><polls><conventions>","4","20090916","5"
"233580","<c++><polls><c++0x>","12","20081024","10"
"120272","<polls><business><startups>","5","20080923","9"
"1109880","<polls><terminology>","7","20090710","21"
"163385","<java><logging><polls><log4j>","5","20081002","5"
"621025","<naming-conventions><backup><polls>","0","20090307","10"
"93958","<java><linux><polls>","4","20080918","21"
"4080","<java><tools><polls><code-coverage><static-analysis>","41","20080806","13"
"301478","<books><project-management><polls><productivity><management>","4","20081119","15"
"190191","<polls><fun><projects><personal>","6","20081010","9"
"869108","<ruby-on-rails><plugins><polls><gem>","5","20090515","6"
"3618089","<android><polls><forums>","0","20100901","3"
"152123","<c++><animation><polls>","1","20080930","6"
"541047","<library><tools><jsf><polls><tags>","2","20090212","6"
"154132","<javascript><html><css><polls><browser-compatibility>","3","20080930","11"
"121965","<jquery><polls><hidden-features>","20","20080923","7"
"293213","<emacs><polls>","2","20081115","6"
"83886","<polls><focus><productivity><distractions>","16","20080917","25"
"630417","<php><library><polls><free>","13","20090310","17"
"1884768","<code-generation><polls><example>","11","20091210","34"
"598710","<c#><.net><generics><polls>","9","20090228","11"
"4793633","<hibernate><polls>","1","20110125","2"
"1011583","<.net><polls><amazon-ec2><ami>","0","20090618","1"
"160711","<.net><time><polls><tips-and-tricks>","16","20081002","28"
"732750","<coding-style><polls><stylecop>","5","20090409","3"
"116012","<polls><wiki><wiki-engine>","4","20080922","2"
"4530118","<c#><asp.net><usercontrols><polls><custom-server-controls>","3","20101225","2"
"4624872","<java><jsp><polls>","1","20110107","1"
"475301","<c++><unit-testing><polls>","2","20090124","1"
"262390","<ftp><ssh><polls><sftp>","0","20081104","4"
"123817","<java><polls><jms>","15","20080923","9"
"116581","<open-source><polls><business>","11","20080922","7"
"520926","<polls><version-control><visual-sourcesafe><war-stories>","21","20090206","18"
"4090317","<polls><knowledge><under-the-hood>","0","20101103","2"
"1568174","<oop><functional-programming><polls><future>","4","20091014","9"
"390724","<polls><feeds><trends><webtrends>","0","20081224","5"
"2441886","<c++><polls><c++0x>","27","20100314","7"
"143492","<statistics><polls>","0","20080927","31"
"795789","<gui><winapi><polls>","15","20090428","16"
"170194","<java><polls><future>","4","20081004","26"
"272863","<language-agnostic><coding-style><polls>","6","20081107","16"
"772596","<polls><hacking><white-hat>","60","20090421","21"
"247350","<polls><build-tools>","10","20081029","18"
"135386","<unit-testing><polls>","12","20080925","46"
"1094636","<polls><estimation>","0","20090707","8"
"117580","<javascript><polls>","8","20080922","10"
"216822","<c#><.net><polls>","2","20081019","2"
"126540","<.net><logging><polls>","47","20080924","26"
"450399","<java><library><parsing><polls><yaml>","31","20090116","10"
"227616","<polls><desktop><payment><credit-card>","5","20081022","3"
"155365","<polls><interview-questions><qa><testers>","11","20080930","7"
"286087","<iphone><objective-c><json><polls>","63","20081113","12"
"1042247","<php><polls><survey><vote>","5","20090625","3"
"186953","<testing><polls><testing-strategies>","0","20081009","2"
"109684","<c++><open-source><coding-style><polls>","26","20080920","13"
"4222520","<polls><code-snippets>","1","20101119","3"
"369903","<delphi><polls><community><social>","17","20081215","23"
"252014","<polls><unmanaged><managed><bytecode>","3","20081030","10"
"110684","<c><optimization><polls>","17","20080921","24"
"439332","<polls><team><celebrate><party>","3","20090113","8"
"803704","<iphone><optimization><installation><polls>","4","20090429","10"
"350204","<polls><agile><productivity><scrum><agile-software>","3","20081208","4"
"505678","<ruby-on-rails><ruby><polls><blogs>","20","20090203","18"
"233818","<career-development><polls>","4","20081024","8"
"205348","<tools><polls><code-search-engine><reading-source-code>","20","20081015","21"
"428486","<ide><editor><polls><text-editor>","6","20090109","33"
"392958","<ruby><polls><favorites>","6","20081225","13"
"810001","<keyboard><polls><german>","0","20090501","4"
"68114","<javascript><web-development><library><polls><ria>","5","20080916","21"
"4062833","<java><polls><heisenbug>","1","20101031","3"
"86708","<polls><ethics>","17","20080917","68"
"282534","<video><polls>","13","20081111","15"
"207613","<javascript><ruby-on-rails><user-interface><polls>","7","20081016","7"
"238550","<php><polls><discussion>","19","20081026","20"
"3567716","<language-agnostic><polls><rosetta-stone>","7","20100825","3"
"340474","<polls><software-quality>","7","20081204","14"
"3083525","<programming-languages><polls><source-code><source>","9","20100621","11"
"872487","<unit-testing><polls>","0","20090516","10"
"4638851","<java><web-development><polls><rich-internet-application>","8","20110109","11"
"159920","<polls><discussion><comments>","1","20081001","9"
"135188","<version-control><polls><ibm-midrange><rpgle>","3","20080925","4"
"519085","<unit-testing><polls><value>","3","20090206","5"
"3397563","<php><security><polls>","4","20100803","5"
"204711","<c#><coding-style><polls>","6","20081015","6"
"426003","<database><polls><oop><object-database>","4","20090108","6"
"3967698","<polls><ipv6>","5","20101019","4"
"243153","<c><coding-style><polls><bsd>","-5","20081028","10"
"98245","<python><polls><template-engine>","43","20080919","14"
"103307","<.net><visual-studio><polls><resharper><productivity>","9","20080919","14"
"60367","<emacs><polls><hidden-features>","189","20080913","89"
"126188","<sql-server><database><oracle><polls>","7","20080924","10"
"1248234","<polls><survey>","5","20090808","12"
"504737","<unit-testing><tutorials><polls>","66","20090202","17"
"577858","<career-development><polls><business>","4","20090223","9"
"348098","<polls><research><experience>","20","20081207","63"
"2283475","<django><django-admin><polls><implementation>","1","20100217","1"
"3637094","<polls><bug-tracking><tracking><issue-tracking>","3","20100903","17"
"214500","<c#><linq><polls>","62","20081018","14"
"798701","<rest><polls>","1","20090428","4"
"135661","<asp.net><polls>","7","20080925","10"
"4336597","<polls><standards><rfc>","2","20101202","2"
"258509","<linux><polls><fun><keywords>","4","20081103","19"
"210755","<java><tools><polls><devtools>","23","20081017","21"
"658196","<career-development><polls>","2","20090318","19"
"4535704","<database-design><polls><flags><bitflags>","3","20101226","3"
"2296668","<drupal><graphics><polls><module><voting>","0","20100219","2"
"208871","<web-development><internet-explorer-6><polls>","9","20081016","10"
"1260052","<database><polls><management><dba><server-monitoring>","3","20090811","11"
"130095","<java><polls><libraries><freeware>","356","20080924","177"
